`bottleneck` is a tool that can be used as an initial step for debugging
bottlenecks in your program.

It summarizes runs of your script with the Python profiler and PyTorch's
autograd profiler. Because your script will be profiled, please ensure that it
exits in a finite amount of time.

For more complicated uses of the profilers, please see
https://docs.python.org/3/library/profile.html and
https://pytorch.org/docs/master/autograd.html#profiler for more information.
Running environment analysis...
Running your script with cProfile
2019-01-30 09:13:18,388 INFO Initialized rank 0 out of 1
2019-01-30 09:13:18,388 INFO Configuration: {'output_dir': '${SCRATCH}/heptrkx/results/gnnsegclf_med_000', 'trainer': {'name': 'gnn', 'real_weight': 2.5, 'fake_weight': 0.625}, 'data': {'name': 'hitgraphs', 'input_dir': '${SCRATCH}/heptrkx/hitgraphs_med_000', 'n_train': 24, 'n_valid': 4, 'batch_size': 1, 'n_workers': 4}, 'model': {'name': 'gnn_segment_classifier', 'input_dim': 3, 'hidden_dim': 64, 'n_iters': 4, 'loss_func': 'binary_cross_entropy', 'optimizer': 'Adam', 'learning_rate': 0.001}, 'training': {'n_epochs': 16}}
2019-01-30 09:13:18,388 INFO Saving job outputs to /global/cscratch1/sd/esaliya/heptrkx/results/gnnsegclf_med_000
2019-01-30 09:13:18,404 INFO Loaded 24 training samples
2019-01-30 09:13:18,404 INFO Loaded 4 validation samples
2019-01-30 09:13:18,555 INFO Model: 
DistributedDataParallelCPU(
  (module): GNNSegmentClassifier(
    (input_network): Sequential(
      (0): Linear(in_features=3, out_features=64, bias=True)
      (1): Tanh()
    )
    (edge_network): EdgeNetwork(
      (network): Sequential(
        (0): Linear(in_features=134, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=1, bias=True)
        (3): Sigmoid()
      )
    )
    (node_network): NodeNetwork(
      (network): Sequential(
        (0): Linear(in_features=201, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=64, bias=True)
        (3): Tanh()
      )
    )
  )
)
Parameters: 26049
2019-01-30 09:13:18,555 INFO Epoch 0
2019-01-30 09:13:22,064 DEBUG   batch 0, loss 0.540380
2019-01-30 09:21:40,116 DEBUG   batch 0, loss 0.434534
2019-01-30 09:21:42,181 DEBUG   batch 1, loss 0.454762
2019-01-30 09:21:46,803 DEBUG   batch 2, loss 0.387377
2019-01-30 09:21:51,243 DEBUG   batch 3, loss 0.400046
2019-01-30 09:21:57,175 DEBUG   batch 4, loss 0.375811
2019-01-30 09:22:05,445 DEBUG   batch 5, loss 0.350272
2019-01-30 09:22:09,773 DEBUG   batch 6, loss 0.405448
2019-01-30 09:22:14,771 DEBUG   batch 7, loss 0.390230
2019-01-30 09:22:19,488 DEBUG   batch 8, loss 0.398588
2019-01-30 09:22:21,451 DEBUG   batch 9, loss 0.464252
2019-01-30 09:22:23,602 DEBUG   batch 10, loss 0.451150
2019-01-30 09:22:28,037 DEBUG   batch 11, loss 0.396863
2019-01-30 09:22:30,478 DEBUG   batch 12, loss 0.448796
2019-01-30 09:22:37,596 DEBUG   batch 13, loss 0.361930
2019-01-30 09:22:45,046 DEBUG   batch 14, loss 0.355095
2019-01-30 09:22:46,707 DEBUG   batch 15, loss 0.481529
2019-01-30 09:22:52,010 DEBUG   batch 16, loss 0.378969
2019-01-30 09:22:56,439 DEBUG   batch 17, loss 0.391717
2019-01-30 09:22:58,255 DEBUG   batch 18, loss 0.468811
2019-01-30 09:23:00,802 DEBUG   batch 19, loss 0.433788
2019-01-30 09:23:03,579 DEBUG   batch 20, loss 0.436263
2019-01-30 09:23:04,470 DEBUG   batch 21, loss 0.527014
2019-01-30 09:23:07,214 DEBUG   batch 22, loss 0.435766
2019-01-30 09:23:09,445 DEBUG   batch 23, loss 0.449266
2019-01-30 09:23:09,475 DEBUG  Processed 24 batches
2019-01-30 09:23:09,475 INFO   Training loss: 0.420
2019-01-30 09:23:10,666 DEBUG  batch 0
2019-01-30 09:23:12,231 DEBUG  batch 1
2019-01-30 09:23:13,627 DEBUG  batch 2
2019-01-30 09:23:13,975 DEBUG  batch 3
2019-01-30 09:23:14,806 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:23:14,806 INFO   Validation loss: 0.365 acc: 0.918
2019-01-30 09:23:14,899 INFO Epoch 6
2019-01-30 09:23:18,301 DEBUG   batch 0, loss 0.434221
2019-01-30 09:23:20,357 DEBUG   batch 1, loss 0.454314
2019-01-30 09:23:24,972 DEBUG   batch 2, loss 0.387236
2019-01-30 09:23:29,420 DEBUG   batch 3, loss 0.399815
2019-01-30 09:23:35,294 DEBUG   batch 4, loss 0.375634
2019-01-30 09:23:43,520 DEBUG   batch 5, loss 0.350052
2019-01-30 09:23:47,794 DEBUG   batch 6, loss 0.405287
2019-01-30 09:23:52,784 DEBUG   batch 7, loss 0.390103
2019-01-30 09:23:57,483 DEBUG   batch 8, loss 0.398396
2019-01-30 09:23:59,460 DEBUG   batch 9, loss 0.463820
2019-01-30 09:24:01,683 DEBUG   batch 10, loss 0.450858
2019-01-30 09:24:06,037 DEBUG   batch 11, loss 0.396674
2019-01-30 09:24:08,467 DEBUG   batch 12, loss 0.448446
2019-01-30 09:24:15,550 DEBUG   batch 13, loss 0.361736
2019-01-30 09:24:22,983 DEBUG   batch 14, loss 0.354843
2019-01-30 09:24:24,628 DEBUG   batch 15, loss 0.481092
2019-01-30 09:24:29,965 DEBUG   batch 16, loss 0.378750
2019-01-30 09:24:34,416 DEBUG   batch 17, loss 0.391428
2019-01-30 09:24:36,228 DEBUG   batch 18, loss 0.468412
2019-01-30 09:24:38,772 DEBUG   batch 19, loss 0.433538
2019-01-30 09:24:41,495 DEBUG   batch 20, loss 0.435973
2019-01-30 09:24:42,413 DEBUG   batch 21, loss 0.526316
2019-01-30 09:24:45,149 DEBUG   batch 22, loss 0.435554
2019-01-30 09:24:47,335 DEBUG   batch 23, loss 0.448932
2019-01-30 09:24:47,363 DEBUG  Processed 24 batches
2019-01-30 09:24:47,363 INFO   Training loss: 0.420
2019-01-30 09:24:48,481 DEBUG  batch 0
2019-01-30 09:24:50,438 DEBUG  batch 1
2019-01-30 09:24:52,293 DEBUG  batch 2
2019-01-30 09:24:52,959 DEBUG  batch 3
2019-01-30 09:24:54,074 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:24:54,074 INFO   Validation loss: 0.368 acc: 0.917
2019-01-30 09:24:54,138 INFO Epoch 7
2019-01-30 09:24:57,506 DEBUG   batch 0, loss 0.433901
2019-01-30 09:24:59,566 DEBUG   batch 1, loss 0.453984
2019-01-30 09:25:04,183 DEBUG   batch 2, loss 0.387114
2019-01-30 09:25:08,560 DEBUG   batch 3, loss 0.399535
2019-01-30 09:25:14,514 DEBUG   batch 4, loss 0.375509
2019-01-30 09:25:22,770 DEBUG   batch 5, loss 0.349936
2019-01-30 09:25:27,030 DEBUG   batch 6, loss 0.405143
2019-01-30 09:25:32,019 DEBUG   batch 7, loss 0.389847
2019-01-30 09:25:36,736 DEBUG   batch 8, loss 0.398323
2019-01-30 09:25:38,744 DEBUG   batch 9, loss 0.463483
2019-01-30 09:25:40,932 DEBUG   batch 10, loss 0.450562
2019-01-30 09:25:45,390 DEBUG   batch 11, loss 0.396465
2019-01-30 09:25:47,821 DEBUG   batch 12, loss 0.448199
2019-01-30 09:25:54,905 DEBUG   batch 13, loss 0.361584
2019-01-30 09:26:02,365 DEBUG   batch 14, loss 0.354716
2019-01-30 09:26:04,047 DEBUG   batch 15, loss 0.480692
2019-01-30 09:26:09,363 DEBUG   batch 16, loss 0.378573
2019-01-30 09:26:13,814 DEBUG   batch 17, loss 0.391217
2019-01-30 09:26:15,631 DEBUG   batch 18, loss 0.468040
2019-01-30 09:26:18,181 DEBUG   batch 19, loss 0.433257
2019-01-30 09:26:20,901 DEBUG   batch 20, loss 0.435717
2019-01-30 09:26:21,815 DEBUG   batch 21, loss 0.525824
2019-01-30 09:26:24,566 DEBUG   batch 22, loss 0.435171
2019-01-30 09:26:26,799 DEBUG   batch 23, loss 0.448566
2019-01-30 09:26:26,824 DEBUG  Processed 24 batches
2019-01-30 09:26:26,825 INFO   Training loss: 0.419
2019-01-30 09:26:27,944 DEBUG  batch 0
2019-01-30 09:26:29,861 DEBUG  batch 1
2019-01-30 09:26:31,693 DEBUG  batch 2
2019-01-30 09:26:32,351 DEBUG  batch 3
2019-01-30 09:26:33,437 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:26:33,437 INFO   Validation loss: 0.366 acc: 0.917
2019-01-30 09:26:33,502 INFO Epoch 8
2019-01-30 09:26:36,879 DEBUG   batch 0, loss 0.433644
2019-01-30 09:26:38,934 DEBUG   batch 1, loss 0.453600
2019-01-30 09:26:43,568 DEBUG   batch 2, loss 0.386956
2019-01-30 09:26:48,001 DEBUG   batch 3, loss 0.399311
2019-01-30 09:26:53,930 DEBUG   batch 4, loss 0.375361
2019-01-30 09:27:02,189 DEBUG   batch 5, loss 0.349781
2019-01-30 09:27:06,437 DEBUG   batch 6, loss 0.404922
2019-01-30 09:27:11,422 DEBUG   batch 7, loss 0.389670
2019-01-30 09:27:16,144 DEBUG   batch 8, loss 0.398184
2019-01-30 09:27:18,141 DEBUG   batch 9, loss 0.463048
2019-01-30 09:27:20,297 DEBUG   batch 10, loss 0.450340
2019-01-30 09:27:24,660 DEBUG   batch 11, loss 0.396318
2019-01-30 09:27:27,091 DEBUG   batch 12, loss 0.447829
2019-01-30 09:27:34,305 DEBUG   batch 13, loss 0.361456
2019-01-30 09:27:41,725 DEBUG   batch 14, loss 0.354544
2019-01-30 09:27:43,388 DEBUG   batch 15, loss 0.480307
2019-01-30 09:27:48,708 DEBUG   batch 16, loss 0.378395
2019-01-30 09:27:53,224 DEBUG   batch 17, loss 0.391012
2019-01-30 09:27:55,089 DEBUG   batch 18, loss 0.467700
2019-01-30 09:27:57,667 DEBUG   batch 19, loss 0.433032
2019-01-30 09:28:00,448 DEBUG   batch 20, loss 0.435479
2019-01-30 09:28:01,423 DEBUG   batch 21, loss 0.525362
2019-01-30 09:28:04,170 DEBUG   batch 22, loss 0.434969
2019-01-30 09:28:06,374 DEBUG   batch 23, loss 0.448298
2019-01-30 09:28:06,400 DEBUG  Processed 24 batches
2019-01-30 09:28:06,400 INFO   Training loss: 0.419
2019-01-30 09:28:07,544 DEBUG  batch 0
2019-01-30 09:28:09,501 DEBUG  batch 1
2019-01-30 09:28:11,349 DEBUG  batch 2
2019-01-30 09:28:12,021 DEBUG  batch 3
2019-01-30 09:28:13,134 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:28:13,134 INFO   Validation loss: 0.368 acc: 0.916
2019-01-30 09:28:13,225 INFO Epoch 9
2019-01-30 09:28:16,627 DEBUG   batch 0, loss 0.433381
2019-01-30 09:28:18,676 DEBUG   batch 1, loss 0.453373
2019-01-30 09:28:23,217 DEBUG   batch 2, loss 0.386780
2019-01-30 09:28:27,655 DEBUG   batch 3, loss 0.399227
2019-01-30 09:28:33,477 DEBUG   batch 4, loss 0.375266
2019-01-30 09:28:41,700 DEBUG   batch 5, loss 0.349647
2019-01-30 09:28:45,948 DEBUG   batch 6, loss 0.404708
2019-01-30 09:28:51,020 DEBUG   batch 7, loss 0.389531
2019-01-30 09:28:55,665 DEBUG   batch 8, loss 0.397916
2019-01-30 09:28:57,623 DEBUG   batch 9, loss 0.462754
2019-01-30 09:28:59,811 DEBUG   batch 10, loss 0.450063
2019-01-30 09:29:04,238 DEBUG   batch 11, loss 0.396179
2019-01-30 09:29:06,602 DEBUG   batch 12, loss 0.447539
2019-01-30 09:29:13,756 DEBUG   batch 13, loss 0.361321
2019-01-30 09:29:21,177 DEBUG   batch 14, loss 0.354360
2019-01-30 09:29:22,829 DEBUG   batch 15, loss 0.479961
2019-01-30 09:29:28,059 DEBUG   batch 16, loss 0.378273
2019-01-30 09:29:32,518 DEBUG   batch 17, loss 0.390844
2019-01-30 09:29:34,383 DEBUG   batch 18, loss 0.467422
2019-01-30 09:29:36,992 DEBUG   batch 19, loss 0.432856
2019-01-30 09:29:39,716 DEBUG   batch 20, loss 0.435256
2019-01-30 09:29:40,675 DEBUG   batch 21, loss 0.525028
2019-01-30 09:29:43,424 DEBUG   batch 22, loss 0.434799
2019-01-30 09:29:45,656 DEBUG   batch 23, loss 0.448044
2019-01-30 09:29:45,684 DEBUG  Processed 24 batches
2019-01-30 09:29:45,684 INFO   Training loss: 0.419
2019-01-30 09:29:47,159 DEBUG  batch 0
2019-01-30 09:29:49,120 DEBUG  batch 1
2019-01-30 09:29:50,975 DEBUG  batch 2
2019-01-30 09:29:51,646 DEBUG  batch 3
2019-01-30 09:29:52,752 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:29:52,752 INFO   Validation loss: 0.371 acc: 0.916
2019-01-30 09:29:52,871 INFO Epoch 10
2019-01-30 09:29:56,325 DEBUG   batch 0, loss 0.433207
2019-01-30 09:29:58,376 DEBUG   batch 1, loss 0.453093
2019-01-30 09:30:02,991 DEBUG   batch 2, loss 0.386618
2019-01-30 09:30:07,369 DEBUG   batch 3, loss 0.399175
2019-01-30 09:30:13,220 DEBUG   batch 4, loss 0.375118
2019-01-30 09:30:21,454 DEBUG   batch 5, loss 0.349654
2019-01-30 09:30:25,782 DEBUG   batch 6, loss 0.404569
2019-01-30 09:30:30,800 DEBUG   batch 7, loss 0.389458
2019-01-30 09:30:35,493 DEBUG   batch 8, loss 0.397794
2019-01-30 09:30:37,471 DEBUG   batch 9, loss 0.462463
2019-01-30 09:30:39,691 DEBUG   batch 10, loss 0.449848
2019-01-30 09:30:44,153 DEBUG   batch 11, loss 0.395980
2019-01-30 09:30:46,566 DEBUG   batch 12, loss 0.447347
2019-01-30 09:30:53,661 DEBUG   batch 13, loss 0.361192
2019-01-30 09:31:01,083 DEBUG   batch 14, loss 0.354323
2019-01-30 09:31:02,795 DEBUG   batch 15, loss 0.479751
2019-01-30 09:31:08,087 DEBUG   batch 16, loss 0.378096
2019-01-30 09:31:12,534 DEBUG   batch 17, loss 0.390689
2019-01-30 09:31:14,344 DEBUG   batch 18, loss 0.467188
2019-01-30 09:31:16,956 DEBUG   batch 19, loss 0.432719
2019-01-30 09:31:19,744 DEBUG   batch 20, loss 0.435206
2019-01-30 09:31:20,725 DEBUG   batch 21, loss 0.524839
2019-01-30 09:31:23,473 DEBUG   batch 22, loss 0.434534
2019-01-30 09:31:25,706 DEBUG   batch 23, loss 0.447823
2019-01-30 09:31:25,734 DEBUG  Processed 24 batches
2019-01-30 09:31:25,734 INFO   Training loss: 0.419
2019-01-30 09:31:26,851 DEBUG  batch 0
2019-01-30 09:31:28,799 DEBUG  batch 1
2019-01-30 09:31:30,672 DEBUG  batch 2
2019-01-30 09:31:31,337 DEBUG  batch 3
2019-01-30 09:31:32,444 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:31:32,515 INFO   Validation loss: 0.371 acc: 0.916
2019-01-30 09:31:32,594 INFO Epoch 11
2019-01-30 09:31:36,186 DEBUG   batch 0, loss 0.433047
2019-01-30 09:31:38,250 DEBUG   batch 1, loss 0.452868
2019-01-30 09:31:42,869 DEBUG   batch 2, loss 0.386479
